Chicago Independents,68.25,21.75
City Service,98.75,36.45
Medallion Leasin,51.25,20.31
City Service,75.5,24.2
Sun Taxi,75.25,35.32
Sun Taxi,40.0,30.0
"Taxicab Insurance Agency, LLC",10.5,35.0
Sun Taxi,50.75,22.06
"Taxicab Insurance Agency, LLC",75.5,24.4
Globe Taxi,67.0,21.7
Top Cab Affiliation,51.5,34.0
Sun Taxi,62.0,28.0
Taxi Affiliation Services,93.5,37.05
Taxi Affiliation Services,54.75,21.9
Globe Taxi,50.5,21.0
Chicago Independents,75.25,21.34
U Taxicab,65.0,21.3
Taxi Affiliation Services,42.25,21.5
Chicago Independents,50.5,21.0
Sun Taxi,43.75,30.0
Chicago Independents,94.25,30.75
Flash Cab,115.0,25.1
U Taxicab,96.5,20.4
Taxi Affiliation Services,56.75,30.0
Globe Taxi,87.5,23.0
Taxi Affiliation Services,18.5,25.0
U Taxicab,25.75,25.0
Taxi Affiliation Services,3.25,59.0
Taxi Affiliation Services,3.5,96.0
Top Cab Affiliation,11.0,25.0
Taxi Affiliation Services,6.75,50.0
Taxi Affiliation Services,5.75,50.0
Taxi Affiliation Services,10.75,40.0
Taxi Affiliation Services,19.25,46.0
Taxi Affiliation Services,19.5,50.0
Flash Cab,3.25,25.0
Sun Taxi,47.5,25.0
Top Cab Affiliation,64.0,21.4
Taxi Affiliation Services,5.0,40.0
Chicago Independents,44.5,25.0
Chicago Independents,38.0,25.0
Flash Cab,6.5,45.0
Blue Ribbon Taxi Association Inc.,3.25,35.0
Chicago Taxicab,6.0,25.0
Chicago Independents,49.75,50.0
Sun Taxi,3.5,20.1
Taxicab Insurance Agency Llc,24.25,24.25
Flash Cab,200.0,40.1
Taxi Affiliation Services,5.25,40.0
Chicago Independents,42.25,30.0
Top Cab Affiliation,63.75,20.45
Sun Taxi,44.5,45.0
Taxi Affiliation Services,43.75,25.0
Sun Taxi,43.0,25.0
Taxi Affiliation Services,13.25,40.0
Taxi Affiliation Services,10.25,40.0
Taxi Affiliation Services,10.0,100.0
Flash Cab,45.0,45.0
Taxi Affiliation Services,9.5,25.0
Taxi Affiliation Services,41.5,25.0
Taxi Affiliation Services,16.5,50.0
Taxi Affiliation Services,5.0,40.0
