Top Cab Affiliation,91.0,28.4
Sun Taxi,81.5,25.1
Medallion Leasin,99.25,32.35
Taxi Affiliation Services,55.25,37.7
Flash Cab,85.75,45.0
Taxi Affiliation Services,86.25,22.05
City Service,74.0,21.7
Flash Cab,71.0,21.5
Sun Taxi,67.5,20.1
Chicago Independents,70.75,22.25
Taxi Affiliation Services,54.0,25.5
Sun Taxi,66.25,26.19
Sun Taxi,63.75,20.65
Medallion Leasin,90.25,22.91
Sun Taxi,53.25,48.0
Sun Taxi,64.25,22.45
"Taxicab Insurance Agency, LLC",87.25,22.5
Flash Cab,82.5,20.75
Taxi Affiliation Services,43.75,100.0
Chicago Independents,5.25,21.5
City Service,49.75,50.0
City Service,42.0,25.0
City Service,44.25,25.0
Taxi Affiliation Services,13.25,50.0
Taxi Affiliation Services,44.25,20.25
"Taxicab Insurance Agency, LLC",63.75,22.75
Top Cab Affiliation,114.5,36.2
Taxi Affiliation Services,92.75,28.65
"Taxicab Insurance Agency, LLC",81.0,21.5
Taxi Affiliation Services,67.25,22.1
"Taxicab Insurance Agency, LLC",64.25,20.45
Blue Ribbon Taxi Association,132.0,45.6
Sun Taxi,29.25,27.0
Taxi Affiliation Services,41.5,25.0
Flash Cab,45.25,40.0
Flash Cab,26.25,21.0
Flash Cab,120.0,24.1
Taxi Affiliation Services,3.25,56.25
Taxi Affiliation Services,52.5,30.0
Sun Taxi,42.0,25.0
City Service,60.0,25.12
Medallion Leasin,75.5,23.7
Taxicab Insurance Agency Llc,47.5,22.0
U Taxicab,3.25,56.0
Sun Taxi,78.75,31.56
Globe Taxi,92.0,44.1
Chicago Taxicab,46.75,25.0
Top Cab Affiliation,72.0,21.1
"Taxicab Insurance Agency, LLC",52.5,25.5
City Service,100.0,20.2
Chicago Independents,103.0,32.5
Star North Taxi Management Llc,110.0,22.1
"Taxicab Insurance Agency, LLC",55.5,20.35
Chicago Independents,63.5,20.4
City Service,36.25,23.0
Flash Cab,139.0,54.88
Flash Cab,101.75,34.85
City Service,62.0,20.2
Sun Taxi,150.0,50.0
Choice Taxi Association,3.5,25.0
Flash Cab,94.5,20.1
Flash Cab,72.5,24.0
Sun Taxi,85.0,22.88
City Service,75.0,24.1
Flash Cab,50.0,49.0
Star North Taxi Management Llc,114.75,39.69
Flash Cab,88.0,20.62
Flash Cab,105.75,23.15
Chicago Independents,79.25,24.05
"Taxicab Insurance Agency, LLC",71.75,22.75
Sun Taxi,87.25,23.65
Chicago Independents,91.0,24.9
City Service,60.0,23.0
24 Seven Taxi,77.25,24.44
Taxi Affiliation Services,71.5,22.2
"Taxicab Insurance Agency, LLC",98.75,27.05
Star North Taxi Management Llc,193.25,30.64
City Service,55.75,22.31
Taxi Affiliation Services,60.25,20.95
Taxi Affiliation Services,101.0,31.5
Sun Taxi,74.0,20.7
City Service,67.25,21.82
Taxi Affiliation Services,86.5,27.0
Sun Taxi,72.0,22.6
Taxi Affiliation Services,94.0,75.0
"Taxicab Insurance Agency, LLC",50.25,50.0
City Service,76.0,29.38
Taxi Affiliation Services,76.25,24.15
Sun Taxi,91.25,29.55
Star North Taxi Management Llc,73.5,25.4
Taxi Affiliation Services,63.75,20.85
Star North Taxi Management Llc,75.25,20.06
Taxi Affiliation Services,72.75,23.45
City Service,65.75,21.15
Sun Taxi,101.75,33.35
Taxi Affiliation Services,74.75,23.05
City Service,54.5,23.5
Taxi Affiliation Services,66.0,25.0
24 Seven Taxi,66.75,21.25
Blue Ribbon Taxi Association,66.0,21.5
City Service,89.5,28.5
Flash Cab,60.5,24.62
Sun Taxi,55.25,21.56
Taxi Affiliation Services,80.5,25.9
Taxi Affiliation Services,62.25,20.35
Flash Cab,88.0,21.15
Taxi Affiliation Services,49.75,24.95
Taxi Affiliation Services,70.75,22.0
Sun Taxi,101.25,33.75
Sun Taxi,73.5,22.2
Sun Taxi,92.0,42.9
"Taxicab Insurance Agency, LLC",72.5,23.2
Chicago Independents,85.5,22.88
"Taxicab Insurance Agency, LLC",69.5,22.1
Taxi Affiliation Services,70.75,22.05
Sun Taxi,85.25,27.05
Taxi Affiliation Services,69.5,27.85
Flash Cab,93.25,22.31
Top Cab Affiliation,99.25,28.95
Taxi Affiliation Services,74.5,23.8
Taxicab Insurance Agency Llc,72.25,23.85
Flash Cab,58.5,24.12
Flash Cab,84.5,20.25
Globe Taxi,60.0,20.1
Flash Cab,108.0,34.5
City Service,49.5,24.0
Sun Taxi,102.75,26.94
Choice Taxi Association,103.5,32.2
Medallion Leasin,92.5,22.88
City Service,73.75,25.15
Star North Taxi Management Llc,51.0,21.75
Taxi Affiliation Services,82.25,25.0
Taxi Affiliation Services,42.5,21.1
Medallion Leasin,93.5,26.0
Taxi Affiliation Services,78.5,21.85
Sun Taxi,93.25,20.25
Globe Taxi,73.25,20.19
City Service,77.25,20.94
Sun Taxi,96.75,20.35
Taxi Affiliation Services,11.75,25.0
Sun Taxi,82.75,22.69
Medallion Leasin,43.5,25.0
Taxi Affiliation Services,27.0,30.0
Taxi Affiliation Services,3.25,50.0
Taxi Affiliation Services,9.0,50.0
Taxi Affiliation Services,10.0,50.0
Chicago Independents,82.75,20.81
Taxi Affiliation Services,19.75,23.0
Globe Taxi,100.0,31.3
Taxi Affiliation Services,46.0,40.0
Chicago Independents,50.5,30.0
Flash Cab,3.25,22.0
Sun Taxi,42.25,25.0
"Taxicab Insurance Agency, LLC",56.75,35.0
City Service,106.25,22.15
Globe Taxi,67.75,25.0
Taxi Affiliation Services,3.25,47.0
Taxi Affiliation Services,70.0,30.0
Taxi Affiliation Services,44.5,22.0
U Taxicab,43.25,30.0
Taxi Affiliation Services,11.0,80.0
Taxicab Insurance Agency Llc,39.5,25.0
Taxi Affiliation Services,17.0,50.0
Taxi Affiliation Services,12.25,50.0
Flash Cab,125.0,25.1
Globe Taxi,158.75,70.0
Flash Cab,52.75,25.0
Sun Taxi,46.0,25.0
Globe Taxi,65.5,21.45
Taxi Affiliation Services,48.5,25.0
Sun Taxi,47.0,25.0
Sun Taxi,39.75,35.0
Sun Taxi,6.25,20.15
